Model,Accuracy,F1 Score,Macro F1,R2 Score
XGBoost,0.8802480916030534,0.922773254379472,0.8820601789246415,0.7779328223593585
SVM,0.8163167938931297,0.8877673636145157,0.864131788263652,0.7260808001815352
Logistic Regression,0.7204198473282443,0.8216340621403913,0.8252245420325436,0.5964789665842886
