Metric,Value
Train Accuracy,0.9973759541984732
Train F1,0.9986882900071548
Train Macro F1,0.9996668654622145
Train R2,0.9988944679111249
Test Accuracy,0.8802480916030534
Test F1,0.922773254379472
Test Macro F1,0.8820601789246415
Test R2,0.7779328223593585
